Date,Year,Customer number,Region,Customer type,Division,Product,Division product combo,Distribution channel,Sales revenue,Sales tax amount,Total invoice,Variable COGS
2021-07-26,Current,11697-3-IN,North,Individual,Office supplies,Writing,Office supplies: Writing,Store,350,29.4,379.4,140
2020-04-03,Prior,13530-1-BU,Central,Business,Office supplies,Writing,Office supplies: Writing,Catalog,360,23.4,383.4,144
2021-10-20,Current,15790-5-IN,West,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Catalog,80,5.04,85.04,32
2020-12-01,Prior,17285-3-BU,North,Business,Office supplies,Writing,Office supplies: Writing,Website,470,20.21,490.21,188
2020-02-04,Prior,11888-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1510,66.44,1576.44,604
2021-08-04,Current,10720-2-BU,East,Business,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Catalog,50,3.15,53.15,20
2020-11-01,Prior,19248-3-IN,North,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,640,28.8,668.8,256
2021-05-03,Current,13887-1-IN,Central,Individual,Electronics,Computers,Electronics: Computers,Catalog,2110,116.05,2226.05,844
2021-12-16,Current,16448-5-IN,West,Individual,Electronics,Computers,Electronics: Computers,Store,4610,110.64,4720.64,1844
2020-03-15,Prior,11352-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Store,330,14.52,344.52,132
2020-04-12,Prior,19881-1-IN,Central,Individual,Office supplies,Writing,Office supplies: Writing,Store,270,22.95,292.95,108
2020-09-13,Prior,17451-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Store,4730,406.78,5136.78,1892
2021-09-02,Current,16962-4-IN,South,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,160,9.12,169.12,64
2021-09-15,Current,11876-4-IN,South,Individual,Office supplies,Writing,Office supplies: Writing,Store,160,12.32,172.32,64
2021-10-11,Current,14687-1-IN,Central,Individual,Electronics,Computers,Electronics: Computers,Website,2420,113.74,2533.74,968
2020-11-17,Prior,13816-4-BU,South,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1040,76.96,1116.96,416
2020-12-11,Prior,14435-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,1590,84.27,1674.27,636
2021-07-13,Current,12532-3-IN,North,Individual,Office supplies,Calendars,Office supplies: Calendars,Website,270,12.42,282.42,108
2021-07-10,Current,15798-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1980,49.5,2029.5,792
2020-01-23,Prior,16027-2-BU,East,Business,Office supplies,Paper,Office supplies: Paper,Catalog,320,18.24,338.24,128
2020-09-17,Prior,18513-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Store,250,15.5,265.5,100
2020-01-20,Prior,18139-5-BU,West,Business,Books,Nonfiction - History,Books: Nonfiction - History,Store,90,5.85,95.85,36
2020-12-26,Prior,16533-4-BU,South,Business,Electronics,Computers,Electronics: Computers,Store,3980,294.52,4274.52,1592
2021-11-01,Current,18323-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,340,17.34,357.34,136
2020-11-23,Prior,16987-3-IN,North,Individual,Electronics,Computers,Electronics: Computers,Store,3900,206.7,4106.7,1560
2020-01-21,Prior,13299-5-BU,West,Business,Electronics,Computers,Electronics: Computers,Store,3120,209.04,3329.04,1248
2021-05-24,Current,10085-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1000,65.0,1065.0,400
2020-03-11,Prior,14420-4-IN,South,Individual,Office supplies,Writing,Office supplies: Writing,Website,170,3.74,173.74,68
2020-03-22,Prior,18667-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Website,430,16.34,446.34,172
2021-12-16,Current,17764-1-IN,Central,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,800,49.6,849.6,320
2021-11-28,Current,10103-3-BU,North,Business,Office supplies,Calendars,Office supplies: Calendars,Catalog,110,3.41,113.41,44
2020-08-12,Prior,13763-2-IN,East,Individual,Office supplies,Writing,Office supplies: Writing,Store,310,11.78,321.78,124
2021-09-26,Current,11009-1-IN,Central,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,3310,241.63,3551.63,1324
2021-11-26,Current,18269-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,1010,23.23,1033.23,404
2020-03-22,Prior,15642-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Catalog,470,31.96,501.96,188
2020-06-29,Prior,14175-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1810,130.32,1940.32,724
2020-04-17,Prior,15892-2-BU,East,Business,Office supplies,Calendars,Office supplies: Calendars,Catalog,10,0.34,10.34,4
2020-03-22,Prior,13271-4-IN,South,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,2770,99.72,2869.72,1108
